land,year,metric_type,value
"Total, all countries or areas",2005,Land area (thousand hectares),13020109.0
"Total, all countries or areas",2005,Arable land (thousand hectares),1366253.0
"Total, all countries or areas",2005,Permanent crops (thousand hectares),145136.0
"Total, all countries or areas",2005,Forest cover (thousand hectares),4132183.0
"Total, all countries or areas",2005,Arable land (% of total land area),10.5
"Total, all countries or areas",2005,Permanent crops (% of total land area),1.1
"Total, all countries or areas",2005,Forest cover (% of total land area),31.7
"Total, all countries or areas",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),33.67
"Total, all countries or areas",2010,Land area (thousand hectares),13018366.0
"Total, all countries or areas",2010,Arable land (thousand hectares),1361101.0
"Total, all countries or areas",2010,Permanent crops (thousand hectares),157820.0
"Total, all countries or areas",2010,Forest cover (thousand hectares),4106317.0
"Total, all countries or areas",2010,Arable land (% of total land area),10.5
"Total, all countries or areas",2010,Permanent crops (% of total land area),1.2
"Total, all countries or areas",2010,Forest cover (% of total land area),31.5
"Total, all countries or areas",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.48
"Total, all countries or areas",2019,Land area (thousand hectares),13030087.0
"Total, all countries or areas",2019,Arable land (thousand hectares),1383346.0
"Total, all countries or areas",2019,Permanent crops (thousand hectares),170236.0
"Total, all countries or areas",2019,Forest cover (thousand hectares),4063843.0
"Total, all countries or areas",2019,Arable land (% of total land area),10.6
"Total, all countries or areas",2019,Permanent crops (% of total land area),1.3
"Total, all countries or areas",2019,Forest cover (% of total land area),31.2
"Total, all countries or areas",2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.83
"Total, all countries or areas",2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.99
Africa,2005,Land area (thousand hectares),2979693.0
Africa,2005,Arable land (thousand hectares),215727.0
Africa,2005,Permanent crops (thousand hectares),30348.0
Africa,2005,Forest cover (thousand hectares),693032.0
Africa,2005,Arable land (% of total land area),7.2
Africa,2005,Permanent crops (% of total land area),1.0
Africa,2005,Forest cover (% of total land area),23.3
Africa,2010,Land area (thousand hectares),2979769.0
Africa,2010,Arable land (thousand hectares),224944.0
Africa,2010,Permanent crops (thousand hectares),32967.0
Africa,2010,Forest cover (thousand hectares),676015.0
Africa,2010,Arable land (% of total land area),7.5
Africa,2010,Permanent crops (% of total land area),1.1
Africa,2010,Forest cover (% of total land area),22.7
Africa,2019,Land area (thousand hectares),2990311.0
Africa,2019,Arable land (thousand hectares),238469.0
Africa,2019,Permanent crops (thousand hectares),34784.0
Africa,2019,Forest cover (thousand hectares),640609.0
Africa,2019,Arable land (% of total land area),8.0
Africa,2019,Permanent crops (% of total land area),1.2
Africa,2019,Forest cover (% of total land area),21.4
Northern Africa,2005,Land area (thousand hectares),838039.0
Northern Africa,2005,Arable land (thousand hectares),41430.0
Northern Africa,2005,Permanent crops (thousand hectares),5310.0
Northern Africa,2005,Forest cover (thousand hectares),37074.0
Northern Africa,2005,Arable land (% of total land area),4.9
Northern Africa,2005,Permanent crops (% of total land area),0.6
Northern Africa,2005,Forest cover (% of total land area),4.4
Northern Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),25.49
Northern Africa,2010,Land area (thousand hectares),838039.0
Northern Africa,2010,Arable land (thousand hectares),42525.0
Northern Africa,2010,Permanent crops (thousand hectares),5806.0
Northern Africa,2010,Forest cover (thousand hectares),36466.0
Northern Africa,2010,Arable land (% of total land area),5.1
Northern Africa,2010,Permanent crops (% of total land area),0.7
Northern Africa,2010,Forest cover (% of total land area),4.4
Northern Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),31.19
Northern Africa,2019,Land area (thousand hectares),785362.0
Northern Africa,2019,Arable land (thousand hectares),41469.0
Northern Africa,2019,Permanent crops (thousand hectares),6534.0
Northern Africa,2019,Forest cover (thousand hectares),27831.0
Northern Africa,2019,Arable land (% of total land area),5.3
Northern Africa,2019,Permanent crops (% of total land area),0.8
Northern Africa,2019,Forest cover (% of total land area),3.5
Northern Africa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.7
Northern Africa,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),41.7
Sub-Saharan Africa,2005,Land area (thousand hectares),2141654.0
Sub-Saharan Africa,2005,Arable land (thousand hectares),174297.0
Sub-Saharan Africa,2005,Permanent crops (thousand hectares),25038.0
Sub-Saharan Africa,2005,Forest cover (thousand hectares),655958.0
Sub-Saharan Africa,2005,Arable land (% of total land area),8.1
Sub-Saharan Africa,2005,Permanent crops (% of total land area),1.2
Sub-Saharan Africa,2005,Forest cover (% of total land area),30.6
Sub-Saharan Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.16
Sub-Saharan Africa,2010,Land area (thousand hectares),2141730.0
Sub-Saharan Africa,2010,Arable land (thousand hectares),182419.0
Sub-Saharan Africa,2010,Permanent crops (thousand hectares),27161.0
Sub-Saharan Africa,2010,Forest cover (thousand hectares),639549.0
Sub-Saharan Africa,2010,Arable land (% of total land area),8.5
Sub-Saharan Africa,2010,Permanent crops (% of total land area),1.3
Sub-Saharan Africa,2010,Forest cover (% of total land area),29.9
Sub-Saharan Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.83
Sub-Saharan Africa,2019,Land area (thousand hectares),2204948.0
Sub-Saharan Africa,2019,Arable land (thousand hectares),197000.0
Sub-Saharan Africa,2019,Permanent crops (thousand hectares),28250.0
Sub-Saharan Africa,2019,Forest cover (thousand hectares),612778.0
Sub-Saharan Africa,2019,Arable land (% of total land area),8.9
Sub-Saharan Africa,2019,Permanent crops (% of total land area),1.3
Sub-Saharan Africa,2019,Forest cover (% of total land area),27.8
Sub-Saharan Africa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),42.55
Sub-Saharan Africa,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.55
Eastern Africa,2005,Land area (thousand hectares),620499.0
Eastern Africa,2005,Arable land (thousand hectares),55770.0
Eastern Africa,2005,Permanent crops (thousand hectares),6913.0
Eastern Africa,2005,Forest cover (thousand hectares),206408.0
Eastern Africa,2005,Arable land (% of total land area),9.0
Eastern Africa,2005,Permanent crops (% of total land area),1.1
Eastern Africa,2005,Forest cover (% of total land area),33.3
Eastern Africa,2010,Land area (thousand hectares),620575.0
Eastern Africa,2010,Arable land (thousand hectares),62228.0
Eastern Africa,2010,Permanent crops (thousand hectares),7604.0
Eastern Africa,2010,Forest cover (thousand hectares),201429.0
Eastern Africa,2010,Arable land (% of total land area),10.0
Eastern Africa,2010,Permanent crops (% of total land area),1.2
Eastern Africa,2010,Forest cover (% of total land area),32.5
Eastern Africa,2019,Land area (thousand hectares),683793.0
Eastern Africa,2019,Arable land (thousand hectares),66773.0
Eastern Africa,2019,Permanent crops (thousand hectares),8520.0
Eastern Africa,2019,Forest cover (thousand hectares),198582.0
Eastern Africa,2019,Arable land (% of total land area),9.8
Eastern Africa,2019,Permanent crops (% of total land area),1.2
Eastern Africa,2019,Forest cover (% of total land area),29.0
Middle Africa,2005,Land area (thousand hectares),649682.0
Middle Africa,2005,Arable land (thousand hectares),22745.0
Middle Africa,2005,Permanent crops (thousand hectares),2762.0
Middle Africa,2005,Forest cover (thousand hectares),313853.0
Middle Africa,2005,Arable land (% of total land area),3.5
Middle Africa,2005,Permanent crops (% of total land area),0.4
Middle Africa,2005,Forest cover (% of total land area),48.3
Middle Africa,2010,Land area (thousand hectares),649682.0
Middle Africa,2010,Arable land (thousand hectares),24061.0
Middle Africa,2010,Permanent crops (thousand hectares),3250.0
Middle Africa,2010,Forest cover (thousand hectares),306675.0
Middle Africa,2010,Arable land (% of total land area),3.7
Middle Africa,2010,Permanent crops (% of total land area),0.5
Middle Africa,2010,Forest cover (% of total land area),47.2
Middle Africa,2019,Land area (thousand hectares),649682.0
Middle Africa,2019,Arable land (thousand hectares),30899.0
Middle Africa,2019,Permanent crops (thousand hectares),3830.0
Middle Africa,2019,Forest cover (thousand hectares),289583.0
Middle Africa,2019,Arable land (% of total land area),4.8
Middle Africa,2019,Permanent crops (% of total land area),0.6
Middle Africa,2019,Forest cover (% of total land area),44.6
Southern Africa,2005,Land area (thousand hectares),265067.0
Southern Africa,2005,Arable land (thousand hectares),14730.0
Southern Africa,2005,Permanent crops (thousand hectares),406.0
Southern Africa,2005,Forest cover (thousand hectares),42843.0
Southern Africa,2005,Arable land (% of total land area),5.6
Southern Africa,2005,Permanent crops (% of total land area),0.2
Southern Africa,2005,Forest cover (% of total land area),16.2
Southern Africa,2010,Land area (thousand hectares),265067.0
Southern Africa,2010,Arable land (thousand hectares),14089.0
Southern Africa,2010,Permanent crops (thousand hectares),460.0
Southern Africa,2010,Forest cover (thousand hectares),41721.0
Southern Africa,2010,Arable land (% of total land area),5.3
Southern Africa,2010,Permanent crops (% of total land area),0.2
Southern Africa,2010,Forest cover (% of total land area),15.7
Southern Africa,2019,Land area (thousand hectares),265067.0
Southern Africa,2019,Arable land (thousand hectares),13373.0
Southern Africa,2019,Permanent crops (thousand hectares),444.0
Southern Africa,2019,Forest cover (thousand hectares),39700.0
Southern Africa,2019,Arable land (% of total land area),5.0
Southern Africa,2019,Permanent crops (% of total land area),0.2
Southern Africa,2019,Forest cover (% of total land area),15.0
Western Africa,2005,Land area (thousand hectares),606406.0
Western Africa,2005,Arable land (thousand hectares),81052.0
Western Africa,2005,Permanent crops (thousand hectares),14957.0
Western Africa,2005,Forest cover (thousand hectares),92854.0
Western Africa,2005,Arable land (% of total land area),13.4
Western Africa,2005,Permanent crops (% of total land area),2.5
Western Africa,2005,Forest cover (% of total land area),15.3
Western Africa,2010,Land area (thousand hectares),606406.0
Western Africa,2010,Arable land (thousand hectares),82040.0
Western Africa,2010,Permanent crops (thousand hectares),15847.0
Western Africa,2010,Forest cover (thousand hectares),89725.0
Western Africa,2010,Arable land (% of total land area),13.5
Western Africa,2010,Permanent crops (% of total land area),2.6
Western Africa,2010,Forest cover (% of total land area),14.8
Western Africa,2019,Land area (thousand hectares),606406.0
Western Africa,2019,Arable land (thousand hectares),85955.0
Western Africa,2019,Permanent crops (thousand hectares),15456.0
Western Africa,2019,Forest cover (thousand hectares),84912.0
Western Africa,2019,Arable land (% of total land area),14.2
Western Africa,2019,Permanent crops (% of total land area),2.5
Western Africa,2019,Forest cover (% of total land area),14.0
Americas,2005,Land area (thousand hectares),3867815.0
Americas,2005,Arable land (thousand hectares),343519.0
Americas,2005,Permanent crops (thousand hectares),26731.0
Americas,2005,Forest cover (thousand hectares),1649669.0
Americas,2005,Arable land (% of total land area),8.9
Americas,2005,Permanent crops (% of total land area),0.7
Americas,2005,Forest cover (% of total land area),42.7
Americas,2010,Land area (thousand hectares),3866368.0
Americas,2010,Arable land (thousand hectares),340284.0
Americas,2010,Permanent crops (thousand hectares),26400.0
Americas,2010,Forest cover (thousand hectares),1624344.0
Americas,2010,Arable land (% of total land area),8.8
Americas,2010,Permanent crops (% of total land area),0.7
Americas,2010,Forest cover (% of total land area),42.0
Americas,2019,Land area (thousand hectares),3866092.0
Americas,2019,Arable land (thousand hectares),341233.0
Americas,2019,Permanent crops (thousand hectares),26965.0
Americas,2019,Forest cover (thousand hectares),1599319.0
Americas,2019,Arable land (% of total land area),8.8
Americas,2019,Permanent crops (% of total land area),0.7
Americas,2019,Forest cover (% of total land area),41.4
Northern America,2005,Land area (thousand hectares),1853824.0
Northern America,2005,Arable land (thousand hectares),205890.0
Northern America,2005,Permanent crops (thousand hectares),2865.0
Northern America,2005,Forest cover (thousand hectares),653693.0
Northern America,2005,Arable land (% of total land area),11.1
Northern America,2005,Permanent crops (% of total land area),0.2
Northern America,2005,Forest cover (% of total land area),35.3
Northern America,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),30.47
Northern America,2010,Land area (thousand hectares),1852374.0
Northern America,2010,Arable land (thousand hectares),195407.0
Northern America,2010,Permanent crops (thousand hectares),2877.0
Northern America,2010,Forest cover (thousand hectares),656045.0
Northern America,2010,Arable land (% of total land area),10.5
Northern America,2010,Permanent crops (% of total land area),0.2
Northern America,2010,Forest cover (% of total land area),35.4
Northern America,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),32.8
Northern America,2019,Land area (thousand hectares),1852374.0
Northern America,2019,Arable land (thousand hectares),196387.0
Northern America,2019,Permanent crops (thousand hectares),2867.0
Northern America,2019,Forest cover (thousand hectares),656763.0
